Driver,Car,Car#,Time
Nyck DeVries,WILLIAMS MERCEDES,45,99.234
Zhou Guanyu,ALFA ROMEO FERRARI,24,102.9588
Esteban Ocon,ALPINE RENAULT,31,101.235
Mick Schumacher,HAAS FERRARI,47,99.566
Sebastian Vettel,ASTON MARTIN ARAMCO MERCEDES,5,107.101
Valtteri Bottas,ALFA ROMEO FERRARI,77,99.345
Yuki Tsunoda,ALPHATAURI RBPT,22,99.333
Nicholas Latifi,WILLIAMS MERCEDES,6,99.869
Kevin Magnussen,HAAS FERRARI,20,103.958
Daniel Ricciardo,MCLAREN MERCEDES,3,104.101
Lance Stroll,ASTON MARTIN ARAMCO MERCEDES,18,105.101
Fernando Alonso,ALPINE RENAULT,14,106.101
George Russell,Mercedes,63,96.834
Charles Leclerc,Ferrari,16,97.519
Lewis Hamilton,Mercedes,44,97.734
Max Verstappen,Red Bull Racing RBPT,1,96.427
Sergio Perez,RED BULL RACING RBPT,11,99.101
Lando Norris,MCLAREN MERCEDES,4,100.543
Pierre Gasly,ALPHATAURI RBPT,10,98.947
